Id	Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	0.000	Town01	533.010	371.500	319.400	70.000	100.000	0.700	0	0	0	1	0	0	0	0	0
1	1.000	Town01	731.500	477.130	401.950	70.000	100.000	0.700	0	0	0	1	0	0	0	0	0
2	2.000	Town01	685.670	438.480	377.400	61.345	61.345	1.000	0	0	0	0	0	0	0	0	1
3	3.000	Town01	556.150	306.710	259.600	60.000	100.000	0.600	0	1	0	0	0	0	0	0	0
4	4.000	Town01	893.890	364.620	267.950	14.232	14.232	1.000	0	0	0	0	0	0	0	0	1
5	5.000	Town02	1010.450	752.010	678.900	100.000	100.000	1.000	0	0	0	0	0	0	0	0	1
6	6.000	Town02	872.100	242.980	208.000	5.478	9.129	0.600	0	1	0	0	0	0	0	0	1
7	7.000	Town02	974.090	738.480	658.050	100.000	100.000	1.000	0	0	0	0	0	0	0	0	1
8	8.000	Town02	820.600	795.940	704.050	18.139	83.976	0.216	0	3	0	0	0	0	0	1	0
9	9.000	Town02	820.600	765.730	684.950	42.000	100.000	0.420	0	1	0	1	0	0	0	0	0
10	10.000	Town03	1671.720	579.130	395.550	2.580	26.254	0.098	0	3	1	1	0	0	0	0	1
11	11.000	Town03	1484.500	735.190	517.350	0.468	100.000	0.005	0	5	0	6	3	0	0	0	0
12	12.000	Town03	1262.670	660.900	455.300	1.338	100.000	0.013	0	6	0	1	4	0	0	0	0
13	13.000	Town03	1869.970	434.160	299.400	4.177	58.845	0.071	1	1	2	1	1	0	1	0	0
14	14.000	Town03	1314.960	996.330	646.800	3.251	100.000	0.033	0	4	0	2	3	0	0	0	0
15	15.000	Town04	2091.060	919.310	627.300	1.394	100.000	0.014	0	4	0	5	2	0	0	0	0
16	16.000	Town04	1867.250	1197.420	700.950	4.840	100.000	0.048	0	2	0	5	1	0	0	0	0
17	17.000	Town04	2069.440	899.070	568.800	4.204	69.796	0.060	0	0	0	6	3	0	0	0	1
18	18.000	Town04	2440.360	1848.710	981.200	9.034	91.449	0.099	0	2	0	3	1	0	0	0	1
19	19.000	Town04	1862.250	1537.830	872.150	1.446	100.000	0.014	0	0	0	10	3	0	0	0	0
20	20.000	Town05	1071.030	220.300	145.100	10.274	24.462	0.420	0	1	0	1	0	0	1	0	0
21	21.000	Town05	862.430	133.070	108.250	23.669	33.812	0.700	0	0	0	1	0	0	1	0	0
22	22.000	Town05	1018.150	746.200	471.600	2.613	100.000	0.026	0	6	0	1	1	0	0	0	0
23	23.000	Town05	991.760	617.430	464.850	8.353	30.596	0.273	0	1	1	1	0	0	0	0	1
24	24.000	Town05	1271.910	421.520	234.750	4.141	4.141	1.000	0	0	0	0	0	0	0	0	1
25	25.000	Town06	1129.370	533.630	416.950	0.490	100.000	0.005	2	7	0	1	0	0	0	0	0
26	26.000	Town06	1687.290	543.630	421.100	15.120	100.000	0.151	0	3	0	1	0	0	0	0	0
27	27.000	Town06	1859.380	682.260	410.750	11.760	100.000	0.118	1	1	0	2	1	0	0	0	0
28	28.000	Town06	2270.930	756.660	380.000	7.866	53.508	0.147	1	1	0	2	0	0	0	0	1
29	29.000	Town06	1329.750	351.560	235.700	21.000	100.000	0.210	1	1	0	1	0	0	0	0	0
30	-	-	1310.810	-	-	22.640	75.380	0.360	0.15	1.37	0.1	1.37	0.58	0.0	0.08	0.03	0.28
