Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	556.15	514.59	259.7	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
1	Town02	820.6	800.48	369.05	15.985	22.836	0.7	0	0	0	1	0	0	0	0	1
2	Town03	1870.89	1258.14	539.5	16.0	100.0	0.16	2	0	0	0	2	0	0	0	0
3	Town03	2303.38	2265.36	943.3	11.52	100.0	0.115	1	2	0	0	2	0	0	0	0
4	Town04	2058.96	1832.63	775.15	3.793	100.0	0.038	0	3	0	3	3	0	0	0	0
5	Town03	1128.32	1034.6	453.2	42.15	75.268	0.56	0	0	0	1	1	0	0	0	1
6	Town03	960.52	635.8	294.1	33.6	100.0	0.336	0	1	0	1	1	0	0	0	0
7	Town03	1205.85	1287.1	564.35	18.432	100.0	0.184	0	2	0	0	3	0	0	0	0
8	Town03	1556.54	1275.15	524.5	13.44	100.0	0.134	1	1	0	1	2	0	0	0	0
9	Town03	1549.86	1158.43	496.85	73.939	92.424	0.8	0	0	0	0	1	0	1	0	0
10	Town02	972.5	1654.13	736.85	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
11	Town02	872.1	469.33	208.45	5.674	9.456	0.6	0	1	0	0	0	0	0	0	1
12	Town02	820.6	1552.08	704.05	34.779	70.977	0.49	0	0	0	2	0	0	0	1	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					29.332	82.382	0.403	0.291	0.801	0.0	0.801	1.092	0.0	0.073	0.073	0.218
