Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	556.15	555.13	259.5	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
1	Town02	820.6	1615.43	704.05	30.236	61.706	0.49	0	0	0	2	0	0	0	1	0
2	Town03	1870.89	1098.03	491.55	32.0	100.0	0.32	1	0	0	0	2	0	0	0	0
3	Town03	2303.38	2198.92	905.65	17.28	100.0	0.173	0	3	0	0	1	0	0	0	0
4	Town04	2058.96	1900.36	768.7	44.8	100.0	0.448	0	0	0	1	2	0	0	0	0
5	Town03	1128.32	837.46	359.7	37.633	53.762	0.7	0	0	0	1	0	0	0	0	1
6	Town03	960.52	662.88	294.15	33.6	100.0	0.336	0	1	0	1	1	0	0	0	0
7	Town03	1205.85	1213.1	510.4	13.44	100.0	0.134	1	1	0	1	2	0	0	0	0
8	Town03	1556.54	1203.98	524.05	10.537	100.0	0.105	0	1	0	3	3	0	0	0	0
9	Town03	1549.86	1087.58	485.35	64.697	92.424	0.7	0	0	0	1	0	0	1	0	0
10	Town02	972.5	1743.54	763.3	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
11	Town02	872.1	1537.06	668.35	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
12	Town02	820.6	1069.8	453.05	19.331	27.615	0.7	0	0	0	1	0	0	0	0	1
13	Town04	2069.44	1989.76	801.45	44.8	100.0	0.448	0	0	0	1	2	0	0	0	0
14	Town04	2440.36	2611.05	965.95	8.467	100.0	0.085	0	3	0	2	1	0	0	0	0
15	Town04	2288.15	1624.45	738.15	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
16	Town05	1071.03	1198.63	502.35	7.741	100.0	0.077	0	3	0	1	3	0	0	0	0
17	Town05	862.43	302.02	126.15	33.7	33.7	1.0	0	0	0	0	0	0	1	0	0
18	Town05	1018.15	992.6	389.85	4.149	100.0	0.041	0	3	0	4	1	0	0	0	0
19	Town05	1651.12	772.45	325.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
20	Town05	1247.52	1214.45	471.15	38.4	100.0	0.384	0	1	0	0	2	0	0	0	0
21	Town05	531.08	455.7	202.05	56.0	100.0	0.56	0	0	0	1	1	0	0	0	0
22	Town05	991.76	835.36	329.95	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
23	Town05	1271.91	1664.58	610.6	2.655	100.0	0.027	0	3	0	4	3	0	0	0	0
24	Town05	2101.2	1643.43	594.3	5.669	22.364	0.254	0	1	2	0	0	0	0	0	1
25	Town05	1554.58	1393.53	568.2	22.938	100.0	0.229	0	0	0	1	5	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					34.364	88.137	0.418	0.063	0.761	0.063	0.92	0.92	0.0	0.063	0.032	0.095
