Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town03	1397.11	520.8	100	0	0	1	0	S	S	S
1	Town02	2077.28	704.05	71.13	0	0	2	0	S	S	F
2	Town03	1060.75	396.75	42.54	0	1	0	0	S	F	S
3	Town03	3286.16	1079.55	100	0	1	2	0	S	S	S
4	Town04	2479.09	746.2	100	0	0	1	0	S	S	S
5	Town03	1300.04	477.8	100	0	0	2	0	S	S	S
6	Town03	1000.48	356.45	100	0	0	0	1	S	S	S
7	Town03	1430.28	520.55	100	0	0	1	0	S	S	S
8	Town03	2489.1	902.75	100	0	0	2	0	S	S	S
9	Town03	1318.0	488.1	92.42	0	0	0	0	F	S	S
10	Town02	2232.62	777.4	100	0	0	0	0	S	S	S
11	Town02	525.1	208.45	9.35	0	0	0	0	S	F	S
-	-	-	-	-	-	-	-	-	-	-	-
				84.62	0.0	2.0	11.0	1.0			
