Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
11	Town02	1967.93	739.05	98.58	0	3	1	0	S	S	F
12	Town02	1817.98	701.2	100	0	0	1	0	S	S	S
13	Town02	1897.97	704.05	69.1	0	0	2	0	S	S	F
14	Town02	1931.93	704.05	72.76	0	0	0	0	S	S	F
15	Town04	2558.22	805.8	100	0	0	0	0	S	S	S
16	Town04	3219.92	1018.2	100	0	0	1	0	S	S	S
17	Town04	3170.72	988.45	100	0	2	1	0	S	S	S
18	Town04	3144.38	1033.3	100	0	0	2	0	S	S	S
19	Town04	4093.74	1267.3	91.35	0	1	3	0	S	F	S
20	Town05	1574.43	502.25	100	0	1	1	1	S	S	S
21	Town05	379.53	137.05	33.81	0	1	0	0	F	S	S
22	Town05	1335.02	444.45	100	0	2	2	0	S	S	S
23	Town05	944.55	328.45	100	0	0	0	0	S	S	S
24	Town05	2341.29	734.5	100	0	1	3	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				90.4	0.0	11.0	17.0	1.0			
