Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	533.01	1087.75	259.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
1	Town01	731.5	1185.65	394.1	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
2	Town01	685.67	577.15	195.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
3	Town01	556.15	760.65	254.25	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
4	Town01	893.89	927.02	301.95	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town03	1671.72	3159.33	770.05	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
6	Town03	1484.5	1719.92	504.55	18.658	44.423	0.42	0	1	0	1	0	0	0	0	1
7	Town03	1262.67	1105.73	338.4	22.019	22.019	1.0	0	0	0	0	0	0	0	0	1
8	Town03	1869.97	3146.54	1002.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
9	Town03	1314.96	2622.08	785.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
10	Town06	1129.37	1896.91	582.55	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
11	Town06	1687.29	1427.98	430.65	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
12	Town06	1859.38	1239.05	420.7	56.0	100.0	0.56	0	0	0	1	1	0	0	0	0
13	Town06	2270.93	1445.8	471.9	28.131	57.409	0.49	0	0	0	2	0	0	0	0	1
14	Town06	1329.75	793.33	275.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
15	Town02	1010.45	3044.33	689.2	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
16	Town02	872.1	1729.79	526.3	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
17	Town02	974.09	3279.69	743.15	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
18	Town02	820.6	928.58	278.35	14.136	14.136	1.0	0	0	0	0	0	0	0	0	1
19	Town02	820.6	2659.91	557.25	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
20	Town04	2091.06	1031.74	279.95	4.162	4.162	1.0	0	0	0	0	0	0	0	0	1
21	Town04	1867.25	3904.31	1082.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
22	Town04	2069.44	5003.09	1063.65	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
23	Town04	2440.36	4959.19	1086.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
24	Town04	1862.25	2407.81	425.35	6.799	16.189	0.42	0	1	0	1	0	0	0	0	1
25	-	1364.36	-	-	61.09	82.33	0.75	0.0	0.12	0.0	0.53	0.03	0.0	0.0	0.0	0.18
