Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
6	Town02	109.68	48.25	100	0	0	1	0	S	S	S
7	Town02	113.52	48.45	100	0	0	1	0	S	S	S
8	Town02	209.39	80.9	100	0	0	0	0	S	S	S
9	Town02	961.8	353.85	100	0	1	1	0	S	S	S
10	Town02	1134.47	435.75	100	0	2	0	0	S	S	S
11	Town02	932.1	348.25	100	0	0	2	0	S	S	S
12	Town03	268.53	116.85	100	0	0	0	0	S	S	S
13	Town03	266.55	118.05	100	0	0	0	0	S	S	S
14	Town03	277.91	117.4	100	0	0	0	0	S	S	S
15	Town03	469.16	172.25	100	0	0	2	0	S	S	S
16	Town03	471.56	172.5	100	0	0	2	0	S	S	S
17	Town03	470.76	172.6	100	0	0	1	0	S	S	S
18	Town04	1129.92	455.6	100	0	0	1	0	S	S	S
19	Town04	1103.74	457.05	100	0	0	1	0	S	S	S
20	Town04	1074.27	458.4	100	0	0	1	0	S	S	S
21	Town04	331.93	113.85	100	0	0	0	0	S	S	S
22	Town04	327.22	113.9	100	0	0	0	0	S	S	S
23	Town04	325.13	115.35	100	0	0	0	0	S	S	S
24	Town06	1025.34	355.05	100	0	1	2	0	S	S	S
25	Town06	410.9	170.1	100	0	1	1	0	S	S	S
26	Town06	601.62	225.45	13.49	0	0	0	0	S	F	S
27	Town06	526.61	210.25	100	0	2	1	0	S	S	S
28	Town06	400.51	168.2	100	0	2	1	0	S	S	S
29	Town06	508.06	210.2	100	0	3	1	0	S	S	S
30	Town05	536.68	171.25	100	0	0	1	0	S	S	S
31	Town05	781.06	232.5	29.85	0	0	0	0	S	F	S
32	Town05	484.76	162.25	100	0	1	0	0	S	S	S
33	Town05	950.97	364.45	100	0	0	1	0	S	S	S
34	Town05	919.8	364.45	100	0	0	1	0	S	S	S
35	Town05	828.6	319.05	100	0	0	1	0	S	S	S
36	Town03	775.69	300.4	46.95	0	1	0	0	S	F	S
37	Town03	772.16	300.25	47.07	0	1	0	0	S	F	S
38	Town03	772.96	300.2	47.07	0	1	0	0	S	F	S
39	Town04	103.5	38.75	100	0	0	1	0	S	S	S
40	Town04	98.96	38.7	100	0	0	1	0	S	S	S
41	Town04	102.75	38.65	100	0	0	1	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				91.234	0.0	16.0	26.0	0.0			
