Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
6	Town02	141.42	109.68	48.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
7	Town02	141.42	113.52	48.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
8	Town02	141.42	209.39	80.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
9	Town02	141.42	961.8	353.85	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
10	Town02	141.42	1134.47	435.75	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
11	Town02	141.42	932.1	348.25	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
12	Town03	141.42	268.53	116.85	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
13	Town03	141.42	266.55	118.05	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
14	Town03	141.42	277.91	117.4	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
15	Town03	141.42	469.16	172.25	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
16	Town03	141.42	471.56	172.5	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
17	Town03	141.42	470.76	172.6	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
18	Town04	141.42	1129.92	455.6	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
19	Town04	141.42	1103.74	457.05	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
20	Town04	141.42	1074.27	458.4	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
21	Town04	141.42	331.93	113.85	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
22	Town04	141.42	327.22	113.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
23	Town04	141.42	325.13	115.35	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
24	Town06	141.42	1025.34	355.05	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
25	Town06	141.42	410.9	170.1	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
26	Town06	141.42	601.62	225.45	13.488	13.488	1.0	0	0	0	0	0	0	0	0	1
27	Town06	141.42	526.61	210.25	21.0	100.0	0.21	1	1	0	1	0	0	0	0	0
28	Town06	141.42	400.51	168.2	21.0	100.0	0.21	1	1	0	1	0	0	0	0	0
29	Town06	141.42	508.06	210.2	15.12	100.0	0.151	0	3	0	1	0	0	0	0	0
30	Town05	141.42	536.68	171.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
31	Town05	141.42	781.06	232.5	29.848	29.848	1.0	0	0	0	0	0	0	0	0	1
32	Town05	141.42	484.76	162.25	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
33	Town05	141.42	950.97	364.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
34	Town05	141.42	919.8	364.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
35	Town05	141.42	828.6	319.05	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
36	Town03	214.05	775.69	300.4	28.173	46.955	0.6	0	1	0	0	0	0	0	0	1
37	Town03	214.05	772.16	300.25	28.241	47.069	0.6	0	1	0	0	0	0	0	0	1
38	Town03	214.05	772.96	300.2	28.241	47.069	0.6	0	1	0	0	0	0	0	0	1
39	Town04	203.01	103.5	38.75	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
40	Town04	203.01	98.96	38.7	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
41	Town04	203.01	102.75	38.65	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					59.764	91.234	0.668	0.399	2.793	0.0	5.187	0.0	0.0	0.0	0.0	0.998
