Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	141.42	1438.25	607.95	24.01	100.0	0.24	0	0	0	4	0	0	0	0	0
1	Town01	141.42	1304.67	552.2	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
2	Town01	141.42	1714.26	713.55	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
3	Town01	141.42	139.24	63.55	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
4	Town01	141.42	201.44	90.85	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town01	141.42	202.42	92.25	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
6	Town02	141.42	186.84	80.75	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
7	Town02	141.42	107.06	48.3	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
8	Town02	141.42	105.37	47.7	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
9	Town02	141.42	1248.84	513.05	60.859	86.941	0.7	0	0	0	1	0	0	0	1	0
10	Town02	141.42	1096.5	444.3	25.2	100.0	0.252	0	2	0	1	0	0	0	0	0
11	Town02	141.42	987.14	395.05	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
12	Town03	141.42	254.43	116.8	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
13	Town03	141.42	264.36	117.1	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
14	Town03	141.42	258.9	117.7	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
15	Town03	141.42	436.88	171.55	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
16	Town03	141.42	420.34	172.25	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
17	Town03	141.42	424.21	171.9	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
18	Town04	141.42	1031.83	455.35	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
19	Town04	141.42	1022.47	457.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
20	Town04	141.42	965.62	457.65	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
21	Town04	141.42	292.67	114.2	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
22	Town04	141.42	291.31	114.15	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
23	Town04	141.42	297.19	114.35	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
24	Town06	141.42	879.84	356.15	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
25	Town06	141.42	627.39	265.6	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
26	Town06	141.42	542.96	225.4	13.488	13.488	1.0	0	0	0	0	0	0	0	0	1
27	Town06	141.42	139.27	63.75	17.849	29.748	0.6	0	1	0	0	0	0	1	0	0
28	Town06	141.42	457.5	208.7	15.12	100.0	0.151	0	3	0	1	0	0	0	0	0
29	Town06	141.42	456.85	208.65	21.6	100.0	0.216	0	3	0	0	0	0	0	0	0
30	Town05	141.42	514.34	171.25	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
31	Town05	141.42	711.08	232.8	29.848	29.848	1.0	0	0	0	0	0	0	0	0	1
32	Town05	141.42	498.74	170.35	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
33	Town05	141.42	856.36	364.4	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
34	Town05	141.42	846.13	364.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
35	Town05	141.42	948.8	387.05	12.53	66.006	0.19	0	0	3	1	0	1	1	0	0
36	Town03	214.05	694.08	300.4	28.173	46.955	0.6	0	1	0	0	0	0	0	0	1
37	Town03	214.05	754.0	300.35	28.241	47.069	0.6	0	1	0	0	0	0	0	0	1
38	Town03	214.05	690.88	300.55	47.069	47.069	1.0	0	0	0	0	0	0	0	0	1
39	Town04	203.01	91.1	38.7	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
40	Town04	203.01	90.59	37.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
41	Town04	203.01	92.65	38.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
42	-	151.01	-	-	61.07	89.69	0.69	0.0	2.21	0.47	5.05	0.0	0.16	0.32	0.16	0.79
