Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
20	Town04	141.42	965.62	457.65	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
21	Town04	141.42	292.67	114.2	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
22	Town04	141.42	291.31	114.15	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
23	Town04	141.42	297.19	114.35	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
24	Town06	141.42	879.84	356.15	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
25	Town06	141.42	627.39	265.6	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
26	Town06	141.42	542.96	225.4	13.488	13.488	1.0	0	0	0	0	0	0	0	0	1
27	Town06	141.42	139.27	63.75	17.849	29.748	0.6	0	1	0	0	0	0	1	0	0
28	Town06	141.42	457.5	208.7	15.12	100.0	0.151	0	3	0	1	0	0	0	0	0
29	Town06	141.42	456.85	208.65	21.6	100.0	0.216	0	3	0	0	0	0	0	0	0
30	Town05	141.42	514.34	171.25	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
31	Town05	141.42	711.08	232.8	29.848	29.848	1.0	0	0	0	0	0	0	0	0	1
32	Town05	141.42	498.74	170.35	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
33	Town05	141.42	856.36	364.4	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
34	Town05	141.42	846.13	364.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
35	Town05	141.42	948.8	387.05	12.53	66.006	0.19	0	0	3	1	0	1	1	0	0
36	Town03	214.05	694.08	300.4	28.173	46.955	0.6	0	1	0	0	0	0	0	0	1
37	Town03	214.05	754.0	300.35	28.241	47.069	0.6	0	1	0	0	0	0	0	0	1
38	Town03	214.05	690.88	300.55	47.069	47.069	1.0	0	0	0	0	0	0	0	0	1
39	Town04	203.01	91.1	38.7	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
40	Town04	203.01	90.59	37.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
41	Town04	203.01	92.65	38.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					51.36	80.917	0.66	0.0	4.22	1.055	4.22	0.0	0.352	0.703	0.0	1.758
