Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	1310.28	551.95	100	0	0	2	0	S	S	S
1	Town01	1213.66	507.15	100	0	0	3	0	S	S	S
2	Town01	1534.35	627.95	100	0	0	4	0	S	S	S
3	Town01	141.57	64.45	100	0	0	0	0	S	S	S
4	Town01	205.31	92.2	100	0	0	0	0	S	S	S
5	Town01	200.93	90.85	100	0	0	0	0	S	S	S
6	Town02	110.54	49.05	100	0	0	1	0	S	S	S
7	Town02	110.1	49.05	100	0	0	1	0	S	S	S
8	Town02	109.53	48.7	100	0	0	1	0	S	S	S
9	Town02	962.67	392.85	100	0	0	0	0	S	S	S
10	Town02	1237.18	513.05	83.32	0	2	1	0	S	S	F
11	Town02	860.95	347.6	100	0	0	3	0	S	S	S
12	Town03	260.19	117.65	100	0	0	0	0	S	S	S
13	Town03	262.01	117.5	100	0	0	0	0	S	S	S
14	Town03	259.6	116.9	100	0	0	0	0	S	S	S
15	Town03	440.31	172.6	100	0	0	2	0	S	S	S
16	Town03	437.67	172.35	100	0	0	1	0	S	S	S
17	Town03	435.58	172.05	100	0	0	1	0	S	S	S
18	Town04	990.53	454.8	100	0	0	1	0	S	S	S
19	Town04	999.36	454.95	100	0	0	1	0	S	S	S
20	Town04	1011.58	458.75	100	0	0	1	0	S	S	S
21	Town04	310.53	116.4	100	0	0	0	0	S	S	S
22	Town04	301.53	114.1	100	0	0	0	0	S	S	S
23	Town04	312.67	114.05	100	0	0	0	0	S	S	S
24	Town06	944.85	354.75	100	0	0	1	0	S	S	S
25	Town06	688.2	265.2	100	0	1	1	0	S	S	S
26	Town06	639.82	265.25	100	0	0	1	0	S	S	S
27	Town06	486.96	210.35	100	0	0	1	0	S	S	S
28	Town06	470.83	211.35	100	0	1	0	0	S	S	S
29	Town06	505.65	211.8	100	0	2	0	0	S	S	S
30	Town05	377.9	128.95	100	0	0	1	0	S	S	S
31	Town05	746.3	232.55	29.85	0	0	0	0	S	F	S
32	Town05	452.0	162.45	100	0	0	1	0	S	S	S
33	Town05	868.13	364.4	100	0	0	1	0	S	S	S
34	Town05	854.62	364.4	100	0	0	1	0	S	S	S
35	Town05	726.22	319.1	100	0	1	1	0	S	S	S
36	Town03	707.54	300.25	47.07	0	1	0	0	S	F	S
37	Town03	713.07	300.15	47.07	0	1	0	0	S	F	S
38	Town03	717.76	303.75	46.95	0	1	0	0	S	F	S
39	Town04	91.45	38.7	100	0	0	1	0	S	S	S
40	Town04	94.09	37.2	100	0	0	1	0	S	S	S
41	Town04	87.49	37.1	100	0	0	1	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				94.149	0.0	10.0	35.0	0.0			
